Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physical Attack; Vandalism,2013,2013-07-22,7:00 AM,2013-07-22,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical"
Equipment Failure,2013,2013-07-18,11:45 PM,2013-07-19,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,"123,000",equipment failure
Physical Attack; Vandalism,2013,2013-07-05,12:05 AM,2013-07-05,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","vandalism, physical"
Suspected Physical Attack,2013,2013-07-03,9:34 AM,2013-07-03,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,"vandalism, physical"
Load Shed 100+MW,2013,2013-07-02,2:20 PM,2013-07-05,3:30 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,200,Unknown,load shedding
Equipment Failure,2013,2013-06-28,6:02 PM,2013-06-28,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,"65,255",equipment failure
Physical Attack; Vandalism,2013,2013-06-28,5:14 PM,2013-06-28,5:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Fog,2013,2013-06-23,9:20 PM,2013-06-24,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,Unknown,"148,000","severe weather, fog"
Physical Attack; Vandalism,2013,2013-06-21,11:14 PM,2013-06-21,11:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,2013-06-19,7:57 PM,2013-06-19,8:09 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2013,2013-06-13,5:45 PM,2013-06-14,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,2013-06-13,1:17 PM,2013-06-14,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
Electrical System Separation (Islanding),2013,2013-06-03,12:50 PM,2013-06-03,1:36 PM,WECC RC Vancouver,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Vandalism,2013,2013-05-17,8:35 AM,2013-05-17,8:36 AM,Delmarva Power & Light Company,"Newcastle, Delaware",RFC,Unknown,Unknown,vandalism
Fuel Supply Emergency - Hydro,2013,2013-05-13,12:52 PM,,Ongoing,California Department of Water Resources,Central California,WECC,176,Unknown,"fuel supply emergency, hydro"
Electrical System Separation (Islanding),2013,2013-05-09,1:21 PM,2013-05-09,4:21 PM,WECC,"Alberta, Canada; Washington State",WECC,Unknown,Unknown,islanding
Vandalism,2013,2013-04-25,4:00 PM,2013-04-26,10:55 AM,City and County of San Francisco,"Sunol, California",WECC,0,0,vandalism
Electrical System Separation (Islanding),2013,2013-04-23,12:49 AM,2013-04-23,4:04 AM,Pacific Gas & Electric Co,"South of Humboldt, California",WECC,80,1,islanding
"Loss of Part of a High Voltage Substation, Physical Attack",2013,2013-04-16,1:47 AM,2013-04-18,3:25 PM,Pacific Gas & Electric Co,California,WECC,,0,vandalism
Transmission System Interruption,2013,2013-03-03,6:39 AM,2013-03-03,10:29 AM,Pacific Gas & Electric Co,"Merced County, California",WECC,300,"58,850",transmission interruption
Electrical System Separation (Islanding),2013,2013-02-19,4:01 PM,2013-02-20,12:55 PM,Pacific Gas & Electric Co.,"Stockton, California",WECC,"13,850","6,810",islanding
Distribution Interruption,2013,2013-01-17,8:35 PM,2013-01-17,9:20 PM,North Carolina Eastern M P A,"Elizabeth City, North Carolina",SERC,40,"12,000",distribution interruption
Transmission Interruption,2012,2012-12-31,2:21 PM,2012-12-31,4:30 PM,City of Washington - (NC),North Carolina,SERC,40,"12,000",transmission interruption
Severe Weather - Thunderstorm,2012,2012-12-26,2:50 PM,2012-12-26,7:40 PM,Town of Stantonsburg - (NC),"Stantonsburg, North Carolina",SERC,3,"1,200","severe weather, thunderstorm"
Load Shed,2012,2012-12-06,9:18 PM,2012-12-06,9:31 PM,California Department of Water Resources,"Greater San Jose, California",WECC,390,Unknown,load shedding
Severe Weather - Winter Storm,2012,2012-12-02,5:20 AM,2012-12-04,9:00 AM,Pacific Gas & Electric Co,Northern California,WECC,250,"125,000","severe weather, winter storm"
Electrical System Separation (Islanding),2012,2012-10-14,10:36 AM,2012-10-14,10:50 AM,Pacific Gas & Electric Co,Northern California,WECC,3,"2,035",islanding
Suspected Physical Attack,2012,2012-10-05,5:30 PM,2012-10-05,5:50 PM,Western Area Power Authority - Sierra Nevada Region,"Greater Sacramento, California",WECC,,,"vandalism, physical"
Electrical System Separation (Islanding),2012,2012-09-11,1:00 PM,2012-09-11,1:58 PM,WECC - Loveland,"Alberta, Canada",WECC,0,0,islanding
Fuel Supply Deficiency (Water),2012,2012-09-06,4:45 AM,,Ongoing,California Department of Water Resources,"Oroville, California",WECC,,,"fuel supply emergency, hydro"
Electrical System Separation (Islanding),2012,2012-09-05,10:56 AM,2012-09-05,11:27 AM,WECC Reliability Coordinator,"Alberta, Canada",WECC,0,0,islanding
Electrical System Separation (Islanding),2012,2012-08-04,3:55 AM,2012-08-04,4:21 AM,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",WECC,5,127,islanding
Energy Deficiency Alert,2012,2012-07-09,12:15 PM,2012-07-09,4:14 PM,WECC RC Vancouver,"Alberta, Canada",WECC,9896,Unknown,energy deficiency alert
Fuel Supply Deficiency (Water),2012,2012-07-07,4:00 AM,2012-07-10,4:00 AM,California Department of Water Resources,CAISO California,WECC,Unknown,0,"fuel supply emergency, hydro"
Operational Failure; Storm Damage,2012,2012-07-01,4:47 PM,2012-07-01,11:00 PM,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",SERC,48,"6,100","equipment failure, severe weather, storm"
Severe Weather,2012,2012-07-01,5:45 PM,2012-07-01,10:15 PM,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",SERC,Unknown,"69,106",severe weather
Severe Weather - Thunderstorms,2012,2012-06-30,10:30 PM,2012-07-02,8:11 AM,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,"60,000","severe weather, thunderstorm"
