antecedent,consequent,support,confidence,lift
"('is_high_fire_activity', 'max_frp_level=High')","('is_wildfire_season',)",0.219,0.8679,1.7696
"('is_wildfire_season', 'max_frp_level=High')","('is_high_fire_activity',)",0.219,0.8519,1.883
"('fires_7day_level=High', 'is_high_fire_activity')","('max_frp_level=High',)",0.1952,0.6029,1.8088
"('is_high_fire_activity', 'max_frp_level=High')","('fires_7day_level=High',)",0.1952,0.7736,2.3208
"('fires_7day_level=High', 'max_frp_level=High')","('is_high_fire_activity',)",0.1952,0.9535,2.1077
"('max_frp_level=High',)","('has_active_fire', 'is_high_fire_activity')",0.2524,0.7571,1.6737
"('is_high_fire_activity', 'max_frp_level=High')","('has_active_fire',)",0.2524,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('is_high_fire_activity',)",0.2524,0.7571,1.6737
"('is_high_fire_activity', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2429,0.6711,0.9586
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('is_wildfire_season',)",0.2429,0.7969,1.6247
"('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')","('is_high_fire_activity',)",0.2429,0.7391,1.6339
"('fires_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')",0.219,0.6571,2.1562
"('fires_7day_level=High', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.219,0.6765,0.9664
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('fires_7day_level=High',)",0.219,0.7187,2.1562
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('is_high_fire_activity',)",0.219,0.9787,2.1635
"('is_high_fire_activity',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.3048,0.6737,1.0178
"('has_active_fire', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.3048,0.6737,0.9624
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('has_active_fire',)",0.3048,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1667,0.7955,1.1364
"('is_high_fire_activity',)","('fires_7day_level=High', 'is_wildfire_season')",0.2857,0.6316,2.1392
"('fires_7day_level=High',)","('is_high_fire_activity', 'is_wildfire_season')",0.2857,0.8571,2.3684
"('is_high_fire_activity', 'is_wildfire_season')","('fires_7day_level=High',)",0.2857,0.7895,2.3684
"('fires_7day_level=High', 'is_high_fire_activity')","('is_wildfire_season',)",0.2857,0.8824,1.799
"('fires_7day_level=High', 'is_wildfire_season')","('is_high_fire_activity',)",0.2857,0.9677,2.1392
"('is_high_fire_activity',)","('has_active_fire', 'is_wildfire_season')",0.3619,0.8,1.6634
"('is_wildfire_season',)","('has_active_fire', 'is_high_fire_activity')",0.3619,0.7379,1.6311
"('is_high_fire_activity', 'is_wildfire_season')","('has_active_fire',)",0.3619,1.0,1.0881
"('has_active_fire', 'is_high_fire_activity')","('is_wildfire_season',)",0.3619,0.8,1.6311
"('has_active_fire', 'is_wildfire_season')","('is_high_fire_activity',)",0.3619,0.7525,1.6634
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('is_wildfire_season',)",0.181,0.8636,1.7608
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('is_high_fire_activity',)",0.181,0.9048,2.0
"('is_high_fire_activity',)","('fires_7day_level=High', 'has_active_fire')",0.3238,0.7158,2.1474
"('fires_7day_level=High',)","('has_active_fire', 'is_high_fire_activity')",0.3238,0.9714,2.1474
"('fires_7day_level=High', 'is_high_fire_activity')","('has_active_fire',)",0.3238,1.0,1.0881
"('has_active_fire', 'is_high_fire_activity')","('fires_7day_level=High',)",0.3238,0.7158,2.1474
"('fires_7day_level=High', 'has_active_fire')","('is_high_fire_activity',)",0.3238,0.9714,2.1474
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('fires_7day_level=High',)",0.1714,0.8182,2.4545
"('DEMAND.LOSS.MW_level=Medium', 'fires_7day_level=High')","('is_high_fire_activity',)",0.1714,1.0,2.2105
"('DEMAND.LOSS.MW_level=Medium',)","('has_active_fire', 'is_high_fire_activity')",0.2095,0.6197,1.3699
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('has_active_fire',)",0.2095,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium', 'has_active_fire')","('is_high_fire_activity',)",0.2095,0.6197,1.3699
"('season=Fall',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')",0.1476,0.7209,2.1941
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Fall')","('is_wildfire_season',)",0.1476,1.0,2.0388
"('is_wildfire_season', 'season=Fall')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.7209,1.0299
"('season=Fall',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.1476,0.7209,1.0892
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Fall')","('has_active_fire',)",0.1476,1.0,1.0881
"('has_active_fire', 'season=Fall')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.7561,1.0801
"('season=Fall',)","('has_active_fire', 'is_wildfire_season')",0.1952,0.9535,1.9825
"('has_active_fire', 'season=Fall')","('is_wildfire_season',)",0.1952,1.0,2.0388
"('is_wildfire_season', 'season=Fall')","('has_active_fire',)",0.1952,0.9535,1.0375
"('acres_30day_level=High',)","('acres_7day_level=High', 'max_frp_level=High')",0.2048,0.6143,2.6327
"('acres_7day_level=High',)","('acres_30day_level=High', 'max_frp_level=High')",0.2048,0.6143,2.8043
"('max_frp_level=High',)","('acres_30day_level=High', 'acres_7day_level=High')",0.2048,0.6143,2.434
"('acres_30day_level=High', 'acres_7day_level=High')","('max_frp_level=High',)",0.2048,0.8113,2.434
"('acres_30day_level=High', 'max_frp_level=High')","('acres_7day_level=High',)",0.2048,0.9348,2.8043
"('acres_7day_level=High', 'max_frp_level=High')","('acres_30day_level=High',)",0.2048,0.8776,2.6327
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('acres_7day_level=High',)",0.1952,0.7321,2.1964
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('acres_30day_level=High',)",0.1952,0.7736,2.3208
"('acres_30day_level=High', 'acres_7day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.7736,1.1051
"('acres_30day_level=High',)","('acres_7day_level=High', 'is_wildfire_season')",0.2333,0.7,2.625
"('acres_7day_level=High',)","('acres_30day_level=High', 'is_wildfire_season')",0.2333,0.7,2.3333
"('acres_30day_level=High', 'is_wildfire_season')","('acres_7day_level=High',)",0.2333,0.7778,2.3333
"('acres_7day_level=High', 'is_wildfire_season')","('acres_30day_level=High',)",0.2333,0.875,2.625
"('acres_30day_level=High', 'acres_7day_level=High')","('is_wildfire_season',)",0.2333,0.9245,1.885
"('acres_30day_level=High', 'acres_7day_level=High')","('fires_7day_level=High',)",0.1905,0.7547,2.2642
"('acres_30day_level=High', 'fires_7day_level=High')","('acres_7day_level=High',)",0.1905,0.8163,2.449
"('acres_7day_level=High', 'fires_7day_level=High')","('acres_30day_level=High',)",0.1905,0.8163,2.449
"('acres_30day_level=High',)","('acres_7day_level=High', 'has_active_fire')",0.2524,0.7571,2.2714
"('acres_7day_level=High',)","('acres_30day_level=High', 'has_active_fire')",0.2524,0.7571,2.2714
"('acres_30day_level=High', 'has_active_fire')","('acres_7day_level=High',)",0.2524,0.7571,2.2714
"('acres_30day_level=High', 'acres_7day_level=High')","('has_active_fire',)",0.2524,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('acres_30day_level=High',)",0.2524,0.7571,2.2714
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('max_frp_level=High',)",0.1714,0.6429,1.9286
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('acres_30day_level=High',)",0.1714,0.6667,2.0
"('acres_30day_level=High', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1714,0.7826,1.118
"('acres_30day_level=High',)","('is_wildfire_season', 'max_frp_level=High')",0.2,0.6,2.3333
"('max_frp_level=High',)","('acres_30day_level=High', 'is_wildfire_season')",0.2,0.6,2.0
"('acres_30day_level=High', 'is_wildfire_season')","('max_frp_level=High',)",0.2,0.6667,2.0
"('is_wildfire_season', 'max_frp_level=High')","('acres_30day_level=High',)",0.2,0.7778,2.3333
"('acres_30day_level=High', 'max_frp_level=High')","('is_wildfire_season',)",0.2,0.913,1.8615
"('acres_30day_level=High', 'max_frp_level=High')","('fires_7day_level=High',)",0.1667,0.7609,2.2826
"('acres_30day_level=High', 'fires_7day_level=High')","('max_frp_level=High',)",0.1667,0.7143,2.1429
"('fires_7day_level=High', 'max_frp_level=High')","('acres_30day_level=High',)",0.1667,0.814,2.4419
"('acres_30day_level=High',)","('has_active_fire', 'max_frp_level=High')",0.219,0.6571,1.9714
"('max_frp_level=High',)","('acres_30day_level=High', 'has_active_fire')",0.219,0.6571,1.9714
"('acres_30day_level=High', 'has_active_fire')","('max_frp_level=High',)",0.219,0.6571,1.9714
"('acres_30day_level=High', 'max_frp_level=High')","('has_active_fire',)",0.219,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('acres_30day_level=High',)",0.219,0.6571,1.9714
"('acres_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')",0.2381,0.7143,2.1739
"('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')","('acres_30day_level=High',)",0.2381,0.7246,2.1739
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('is_wildfire_season',)",0.2381,0.8929,1.8204
"('acres_30day_level=High', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2381,0.7937,1.1338
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('fires_7day_level=High',)",0.1762,0.6607,1.9821
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('acres_30day_level=High',)",0.1762,0.7872,2.3617
"('acres_30day_level=High', 'fires_7day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1762,0.7551,1.0787
"('acres_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2667,0.8,1.2086
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('has_active_fire',)",0.2667,1.0,1.0881
"('acres_30day_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2667,0.8,1.1429
"('acres_30day_level=High',)","('fires_7day_level=High', 'is_wildfire_season')",0.219,0.6571,2.2258
"('fires_7day_level=High',)","('acres_30day_level=High', 'is_wildfire_season')",0.219,0.6571,2.1905
"('acres_30day_level=High', 'is_wildfire_season')","('fires_7day_level=High',)",0.219,0.7302,2.1905
"('fires_7day_level=High', 'is_wildfire_season')","('acres_30day_level=High',)",0.219,0.7419,2.2258
"('acres_30day_level=High', 'fires_7day_level=High')","('is_wildfire_season',)",0.219,0.9388,1.914
"('is_wildfire_season',)","('acres_30day_level=High', 'has_active_fire')",0.3,0.6117,1.835
"('acres_30day_level=High',)","('has_active_fire', 'is_wildfire_season')",0.3,0.9,1.8713
"('acres_30day_level=High', 'is_wildfire_season')","('has_active_fire',)",0.3,1.0,1.0881
"('has_active_fire', 'is_wildfire_season')","('acres_30day_level=High',)",0.3,0.6238,1.8713
"('acres_30day_level=High', 'has_active_fire')","('is_wildfire_season',)",0.3,0.9,1.835
"('acres_30day_level=High',)","('fires_7day_level=High', 'has_active_fire')",0.2333,0.7,2.1
"('fires_7day_level=High',)","('acres_30day_level=High', 'has_active_fire')",0.2333,0.7,2.1
"('acres_30day_level=High', 'has_active_fire')","('fires_7day_level=High',)",0.2333,0.7,2.1
"('acres_30day_level=High', 'fires_7day_level=High')","('has_active_fire',)",0.2333,1.0,1.0881
"('fires_7day_level=High', 'has_active_fire')","('acres_30day_level=High',)",0.2333,0.7,2.1
"('OUTAGE.DURATION_level=Medium', 'acres_7day_level=High')","('has_active_fire',)",0.1524,1.0,1.0881
"('OUTAGE.DURATION_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2381,0.7143,1.0791
"('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=Medium')","('has_active_fire',)",0.2381,0.9615,1.0462
"('OUTAGE.DURATION_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2381,0.7812,1.1161
"('OUTAGE.DURATION_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.1619,0.9714,1.057
"('OUTAGE.DURATION_level=Medium', 'fires_7day_level=High')","('has_active_fire',)",0.1524,1.0,1.0881
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('max_frp_level=High',)",0.1762,0.6981,2.0943
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('acres_7day_level=High',)",0.1762,0.6852,2.0556
"('acres_7day_level=High', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1762,0.7551,1.0787
"('acres_7day_level=High',)","('is_wildfire_season', 'max_frp_level=High')",0.2095,0.6286,2.4444
"('max_frp_level=High',)","('acres_7day_level=High', 'is_wildfire_season')",0.2095,0.6286,2.3571
"('acres_7day_level=High', 'is_wildfire_season')","('max_frp_level=High',)",0.2095,0.7857,2.3571
"('is_wildfire_season', 'max_frp_level=High')","('acres_7day_level=High',)",0.2095,0.8148,2.4444
"('acres_7day_level=High', 'max_frp_level=High')","('is_wildfire_season',)",0.2095,0.898,1.8308
"('acres_7day_level=High', 'fires_7day_level=High')","('max_frp_level=High',)",0.1857,0.7959,2.3878
"('fires_7day_level=High', 'max_frp_level=High')","('acres_7day_level=High',)",0.1857,0.907,2.7209
"('acres_7day_level=High', 'max_frp_level=High')","('fires_7day_level=High',)",0.1857,0.7959,2.3878
"('acres_7day_level=High',)","('has_active_fire', 'max_frp_level=High')",0.2333,0.7,2.1
"('max_frp_level=High',)","('acres_7day_level=High', 'has_active_fire')",0.2333,0.7,2.1
"('acres_7day_level=High', 'has_active_fire')","('max_frp_level=High',)",0.2333,0.7,2.1
"('has_active_fire', 'max_frp_level=High')","('acres_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High', 'max_frp_level=High')","('has_active_fire',)",0.2333,1.0,1.0881
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('is_wildfire_season',)",0.1952,0.7736,1.5772
"('acres_7day_level=High', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.7321,1.0459
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('acres_7day_level=High',)",0.1667,0.7447,2.234
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('fires_7day_level=High',)",0.1667,0.6604,1.9811
"('acres_7day_level=High', 'fires_7day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1667,0.7143,1.0204
"('acres_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2524,0.7571,1.1439
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=High')","('has_active_fire',)",0.2524,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2524,0.7571,1.0816
"('fires_7day_level=High',)","('acres_7day_level=High', 'is_wildfire_season')",0.2095,0.6286,2.3571
"('acres_7day_level=High',)","('fires_7day_level=High', 'is_wildfire_season')",0.2095,0.6286,2.129
"('fires_7day_level=High', 'is_wildfire_season')","('acres_7day_level=High',)",0.2095,0.7097,2.129
"('acres_7day_level=High', 'is_wildfire_season')","('fires_7day_level=High',)",0.2095,0.7857,2.3571
"('acres_7day_level=High', 'fires_7day_level=High')","('is_wildfire_season',)",0.2095,0.898,1.8308
"('acres_7day_level=High',)","('has_active_fire', 'is_wildfire_season')",0.2667,0.8,1.6634
"('acres_7day_level=High', 'is_wildfire_season')","('has_active_fire',)",0.2667,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('is_wildfire_season',)",0.2667,0.8,1.6311
"('fires_7day_level=High',)","('acres_7day_level=High', 'has_active_fire')",0.2333,0.7,2.1
"('acres_7day_level=High',)","('fires_7day_level=High', 'has_active_fire')",0.2333,0.7,2.1
"('fires_7day_level=High', 'has_active_fire')","('acres_7day_level=High',)",0.2333,0.7,2.1
"('acres_7day_level=High', 'fires_7day_level=High')","('has_active_fire',)",0.2333,1.0,1.0881
"('acres_7day_level=High', 'has_active_fire')","('fires_7day_level=High',)",0.2333,0.7,2.1
"('DEMAND.LOSS.MW_level=Medium', 'acres_7day_level=High')","('has_active_fire',)",0.1571,1.0,1.0881
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('is_wildfire_season',)",0.1952,0.7593,1.548
"('is_wildfire_season', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.7593,1.0847
"('max_frp_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2571,0.7714,1.1655
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=High')","('has_active_fire',)",0.2571,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2571,0.7714,1.102
"('fires_7day_level=High', 'is_wildfire_season')","('max_frp_level=High',)",0.1905,0.6452,1.9355
"('is_wildfire_season', 'max_frp_level=High')","('fires_7day_level=High',)",0.1905,0.7407,2.2222
"('fires_7day_level=High', 'max_frp_level=High')","('is_wildfire_season',)",0.1905,0.9302,1.8966
"('max_frp_level=High',)","('has_active_fire', 'is_wildfire_season')",0.2571,0.7714,1.604
"('is_wildfire_season', 'max_frp_level=High')","('has_active_fire',)",0.2571,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('is_wildfire_season',)",0.2571,0.7714,1.5728
"('fires_7day_level=High',)","('has_active_fire', 'max_frp_level=High')",0.2048,0.6143,1.8429
"('max_frp_level=High',)","('fires_7day_level=High', 'has_active_fire')",0.2048,0.6143,1.8429
"('fires_7day_level=High', 'has_active_fire')","('max_frp_level=High',)",0.2048,0.6143,1.8429
"('fires_7day_level=High', 'max_frp_level=High')","('has_active_fire',)",0.2048,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('fires_7day_level=High',)",0.2048,0.6143,1.8429
"('fires_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')",0.2,0.6,1.8261
"('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')","('fires_7day_level=High',)",0.2,0.6087,1.8261
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('is_wildfire_season',)",0.2,0.8936,1.8219
"('fires_7day_level=High', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2,0.6774,0.9677
"('is_wildfire_season',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.3286,0.6699,1.0121
"('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.3286,1.0,1.0881
"('has_active_fire', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.3286,0.6832,0.976
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1667,0.8333,1.1905
"('fires_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2238,0.6714,1.0144
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('has_active_fire',)",0.2238,1.0,1.0881
"('fires_7day_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6714,0.9592
"('DEMAND.LOSS.MW_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2905,0.8592,1.298
"('CUSTOMERS.AFFECTED_level=Medium', 'DEMAND.LOSS.MW_level=Medium')","('has_active_fire',)",0.2905,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2905,0.8592,1.2274
"('is_wildfire_season',)","('fires_7day_level=High', 'has_active_fire')",0.2952,0.6019,1.8058
"('fires_7day_level=High',)","('has_active_fire', 'is_wildfire_season')",0.2952,0.8857,1.8416
"('fires_7day_level=High', 'is_wildfire_season')","('has_active_fire',)",0.2952,1.0,1.0881
"('has_active_fire', 'is_wildfire_season')","('fires_7day_level=High',)",0.2952,0.6139,1.8416
"('fires_7day_level=High', 'has_active_fire')","('is_wildfire_season',)",0.2952,0.8857,1.8058
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('fires_7day_level=High',)",0.1667,0.8333,2.5
"('DEMAND.LOSS.MW_level=Medium', 'fires_7day_level=High')","('is_wildfire_season',)",0.1667,0.9722,1.9822
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('has_active_fire',)",0.2,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium', 'fires_7day_level=High')","('has_active_fire',)",0.1714,1.0,1.0881
"('acres_30day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2143,0.6429,0.9184
"('acres_30day_level=Medium',)","('has_active_fire',)",0.3143,0.9429,1.0259
"('acres_30day_level=Medium',)","('acres_7day_level=Medium',)",0.2048,0.6143,1.8169
"('acres_7day_level=Medium',)","('acres_30day_level=Medium',)",0.2048,0.6056,1.8169
"('fires_7day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2524,0.7361,1.0516
"('CAUSE.CATEGORY=system operability disruption',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.1619,0.8293,1.1847
"('season=Spring',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.1619,0.7083,1.0119
"('acres_7day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2143,0.6338,0.9054
"('DEMAND.LOSS.MW_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.3,0.9,1.2857
"('fires_30day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6812,0.9731
"('fires_7day_level=Medium',)","('has_active_fire',)",0.3333,0.9722,1.0579
"('fires_30day_level=Medium',)","('fires_7day_level=Medium',)",0.2381,0.7246,2.1135
"('fires_7day_level=Medium',)","('fires_30day_level=Medium',)",0.2381,0.6944,2.1135
"('CAUSE.CATEGORY=system operability disruption',)","('has_active_fire',)",0.1762,0.9024,0.9819
"('season=Spring',)","('has_active_fire',)",0.2095,0.9167,0.9974
"('acres_7day_level=Medium',)","('has_active_fire',)",0.3333,0.9859,1.0728
"('OUTAGE.DURATION_level=Low',)","('has_active_fire',)",0.319,0.9571,1.0415
"('DEMAND.LOSS.MW_level=High',)","('has_active_fire',)",0.3095,0.9286,1.0104
"('fires_30day_level=Medium',)","('has_active_fire',)",0.3286,1.0,1.0881
"('acres_30day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2095,0.6286,0.9496
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=Medium')","('has_active_fire',)",0.2095,0.9778,1.0639
"('acres_30day_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2095,0.6667,0.9524
"('acres_30day_level=Medium', 'fires_7day_level=Medium')","('has_active_fire',)",0.1857,1.0,1.0881
"('acres_30day_level=Medium', 'fires_30day_level=Medium')","('fires_7day_level=Medium',)",0.1571,0.825,2.4062
"('acres_30day_level=Medium', 'fires_7day_level=Medium')","('fires_30day_level=Medium',)",0.1571,0.8462,2.5753
"('fires_30day_level=Medium', 'fires_7day_level=Medium')","('acres_30day_level=Medium',)",0.1571,0.66,1.98
"('acres_30day_level=Medium',)","('acres_7day_level=Medium', 'has_active_fire')",0.2,0.6,1.8
"('acres_30day_level=Medium', 'has_active_fire')","('acres_7day_level=Medium',)",0.2,0.6364,1.8822
"('acres_30day_level=Medium', 'acres_7day_level=Medium')","('has_active_fire',)",0.2,0.9767,1.0628
"('acres_7day_level=Medium', 'has_active_fire')","('acres_30day_level=Medium',)",0.2,0.6,1.8
"('acres_30day_level=Medium', 'has_active_fire')","('fires_30day_level=Medium',)",0.1905,0.6061,1.8445
"('acres_30day_level=Medium', 'fires_30day_level=Medium')","('has_active_fire',)",0.1905,1.0,1.0881
"('fires_7day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2429,0.7083,1.0701
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Medium')","('has_active_fire',)",0.2429,0.9623,1.047
"('fires_7day_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2429,0.7286,1.0408
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Medium')","('fires_7day_level=Medium',)",0.1667,0.7447,2.172
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Medium')","('fires_30day_level=Medium',)",0.1667,0.6604,2.0098
"('fires_30day_level=Medium', 'fires_7day_level=Medium')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1667,0.7,1.0
"('CAUSE.CATEGORY=system operability disruption',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.1476,0.7561,1.1423
"('CAUSE.CATEGORY=system operability disruption', 'CUSTOMERS.AFFECTED_level=Medium')","('has_active_fire',)",0.1476,0.9118,0.9921
"('CAUSE.CATEGORY=system operability disruption', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.8378,1.1969
"('season=Spring',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.1571,0.6875,1.0387
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Spring')","('has_active_fire',)",0.1571,0.9706,1.0561
"('has_active_fire', 'season=Spring')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1571,0.75,1.0714
"('acres_7day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2143,0.6338,0.9575
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_7day_level=Medium')","('has_active_fire',)",0.2143,1.0,1.0881
"('acres_7day_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2143,0.6429,0.9184
"('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=Low')","('has_active_fire',)",0.1905,0.9756,1.0615
"('DEMAND.LOSS.MW_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2762,0.8286,1.2518
"('CUSTOMERS.AFFECTED_level=Medium', 'DEMAND.LOSS.MW_level=High')","('has_active_fire',)",0.2762,0.9206,1.0017
"('DEMAND.LOSS.MW_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2762,0.8923,1.2747
"('fires_30day_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2238,0.6812,1.0291
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=Medium')","('has_active_fire',)",0.2238,1.0,1.0881
"('fires_30day_level=Medium', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2238,0.6812,0.9731
"('acres_7day_level=Medium', 'fires_7day_level=Medium')","('has_active_fire',)",0.1857,1.0,1.0881
