antecedent,consequent,support,confidence,lift
"('acres_30day_level=High',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2381,0.7143,2.2388
"('fires_30day_level=High', 'is_high_fire_activity')","('acres_30day_level=High',)",0.2381,0.7463,2.2388
"('acres_30day_level=High', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2381,0.9091,2.6515
"('acres_30day_level=High', 'fires_30day_level=High')","('is_high_fire_activity',)",0.2381,0.9434,2.0854
"('fires_30day_level=High',)","('acres_7day_level=High', 'is_high_fire_activity')",0.2286,0.6667,2.5
"('acres_7day_level=High',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2286,0.6857,2.1493
"('fires_30day_level=High', 'is_high_fire_activity')","('acres_7day_level=High',)",0.2286,0.7164,2.1493
"('acres_7day_level=High', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2286,0.8571,2.5
"('acres_7day_level=High', 'fires_30day_level=High')","('is_high_fire_activity',)",0.2286,0.96,2.1221
"('fires_30day_level=High', 'is_high_fire_activity')","('max_frp_level=High',)",0.1952,0.6119,1.8358
"('is_high_fire_activity', 'max_frp_level=High')","('fires_30day_level=High',)",0.1952,0.7736,2.2563
"('fires_30day_level=High', 'max_frp_level=High')","('is_high_fire_activity',)",0.1952,0.9318,2.0598
"('fires_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')",0.2286,0.6667,2.1875
"('fires_30day_level=High', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2286,0.7164,1.0235
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('fires_30day_level=High',)",0.2286,0.75,2.1875
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('is_high_fire_activity',)",0.2286,0.9057,2.002
"('is_high_fire_activity',)","('fires_30day_level=High', 'is_wildfire_season')",0.3095,0.6842,2.0526
"('fires_30day_level=High',)","('is_high_fire_activity', 'is_wildfire_season')",0.3095,0.9028,2.4945
"('is_wildfire_season',)","('fires_30day_level=High', 'is_high_fire_activity')",0.3095,0.6311,1.978
"('fires_30day_level=High', 'is_high_fire_activity')","('is_wildfire_season',)",0.3095,0.9701,1.978
"('is_high_fire_activity', 'is_wildfire_season')","('fires_30day_level=High',)",0.3095,0.8553,2.4945
"('fires_30day_level=High', 'is_wildfire_season')","('is_high_fire_activity',)",0.3095,0.9286,2.0526
"('is_high_fire_activity',)","('fires_30day_level=High', 'fires_7day_level=High')",0.2857,0.6316,2.2105
"('fires_30day_level=High',)","('fires_7day_level=High', 'is_high_fire_activity')",0.2857,0.8333,2.5735
"('fires_7day_level=High',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2857,0.8571,2.6866
