outage_date,outage_year,outage_month,outage_dayofweek,outage_quarter,season,is_wildfire_season,is_weekend,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,duration_category,impact_category,is_wildfire_related,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,large_fire_count,large_fire_acres,satellite_detections,total_frp,avg_frp,max_frp,avg_confidence,fires_7day,fires_30day,acres_7day,acres_30day,is_high_severity,is_long_duration,has_active_fire,is_high_fire_activity,kmeans_cluster,hierarchical_cluster,dbscan_cluster
2011-06-05,2011,6,6,2,Summer,1,1,islanding,,53.0,10.0,5314.0,Short,Low,0,22.0,248.22,11.282727272727271,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,739.0,975.4299999998528,6776.91,0,0,1,1,2,1,0
2001-03-19,2001,3,0,1,Spring,0,0,public appeal,,554.0,700.0,,Long,Unknown,0,4.0,1.4,0.35,0.5,0.0,0.0,6.0,112.9,18.816666666666663,58.8,66.5,36.0,81.0,32.89999999994179,108.9,0,1,1,0,1,1,-1
2011-02-03,2011,2,3,1,Winter,0,0,fuel supply emergency, Natural Gas,1260.0,,,Long,Unknown,0,2.0,0.11,0.055,0.1,0.0,0.0,1.0,6.8,6.8,6.8,59.0,32.0,135.0,54.49999999985266,113.33,0,1,1,0,1,1,0
2010-10-05,2010,10,1,4,Fall,1,0,severe weather,wind/rain,2895.0,,73514.0,Extended,High,0,26.0,30.33,1.1665384615384615,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,788.0,543.3099999998526,12002.09,1,1,1,1,0,0,0
2009-08-31,2009,8,0,3,Summer,1,0,public appeal,,89.0,,,Medium,Unknown,0,23.0,900.12,39.13565217391304,860.0,0.0,0.0,413.0,121061.8,293.1278450363196,7114.3,92.14043583535108,215.0,1173.0,192014.60999999987,335685.22,0,0,1,1,2,1,-1
2015-06-20,2015,6,5,2,Summer,1,1,intentional attack,vandalism,98.0,,0.0,Medium,Low,0,36.0,3624.64,100.68444444444444,1800.0,2.0,3600.0,78.0,4582.8,58.753846153846155,214.8,91.12820512820512,245.0,1045.0,74995.06999999982,78746.39000000001,0,0,1,1,2,1,0
2008-09-08,2008,9,0,3,Fall,1,0,fuel supply emergency,,865.0,300.0,,Long,Unknown,0,19.0,127.71,6.721578947368421,108.0,0.0,0.0,27.0,3375.4,125.0148148148148,573.3,84.88888888888889,189.0,918.0,4437.949999999883,71192.74,0,1,1,0,1,1,0
2011-06-04,2011,6,5,2,Summer,1,1,intentional attack,vandalism,128.0,,420.0,Medium,Low,0,20.0,42.51,2.1254999999999997,20.7,0.0,0.0,3.0,70.7,23.566666666666663,28.2,75.33333333333333,200.0,756.0,1300.0399999998526,6726.2699999999995,0,0,1,1,2,1,0
2007-05-10,2007,5,3,2,Spring,0,0,equipment failure,generator trip,230.0,150.0,,Medium,Unknown,0,48.0,5057.9,105.37291666666664,4750.0,1.0,4750.0,17.0,1990.3,117.0764705882353,686.0,80.88235294117646,249.0,681.0,7690.999999999884,10898.61,0,0,1,1,1,0,0
2008-07-02,2008,7,2,3,Summer,1,0,severe weather,wildfire,252.0,208.0,200000.0,Medium,Severe,1,41.0,641.33,15.64219512195122,289.0,0.0,0.0,421.0,24891.1,59.123752969121135,1688.1,82.18052256532067,273.0,1956.0,55377.16999999989,1109865.87,1,0,1,1,2,2,1
2011-03-21,2011,3,0,1,Spring,0,0,severe weather,storm,130.0,150.0,54332.0,Medium,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,135.0,856.6899999998526,1296.4999999999998,1,0,0,0,0,0,0
2010-12-14,2010,12,1,4,Winter,0,0,islanding,,5.0,9.0,6635.0,Short,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60.099999999999994,15.025,20.0,68.75,15.0,94.0,7.859999999852662,178.01,0,0,0,0,1,0,0
2015-07-18,2015,7,5,3,Summer,1,1,islanding,,157.0,30.0,70.0,Medium,Low,0,90.0,1830.47,20.338555555555555,1600.0,1.0,1600.0,4.0,751.0,187.75,326.8,99.0,303.0,1587.0,7066.869999999826,33612.070000000014,0,0,1,1,2,1,0
2011-03-19,2011,3,5,1,Spring,0,1,severe weather,storm,6914.0,91.0,128000.0,Extended,Severe,0,6.0,2.4,0.3999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,135.0,859.0999999998526,1297.89,1,1,1,0,0,0,0
2010-10-27,2010,10,2,4,Fall,1,0,islanding,,11.0,16.0,2674.0,Short,Low,0,8.0,5.07,0.63375,2.0,0.0,0.0,1.0,105.5,105.5,105.5,82.0,60.0,623.0,303.68999999985266,1596.77,0,0,1,0,1,1,0
2012-12-06,2012,12,3,4,Winter,0,0,system operability disruption,,13.0,390.0,,Short,Unknown,0,3.0,0.29,0.0966666666666666,0.1,0.0,0.0,6.0,63.8,10.633333333333333,22.2,62.666666666666664,13.0,149.0,3.089999999825377,240.17,0,0,1,0,1,0,0
2012-06-19,2012,6,1,2,Summer,1,0,fuel supply emergency,Hydro,2880.0,,,Extended,Unknown,0,45.0,749.06,16.645777777777777,385.0,0.0,0.0,38.0,9045.7,238.0447368421053,922.6,88.28947368421052,292.0,1026.0,7687.599999999854,20839.29,0,1,1,1,2,1,0
2004-05-03,2004,5,0,2,Spring,0,0,severe weather,heatwave,270.0,662.0,940.0,Medium,Low,0,43.0,18435.0,428.72093023255815,16460.0,2.0,17587.0,31.0,3073.0,99.12903225806453,677.5,83.80645161290323,280.0,617.0,31383.09999999988,34660.44,0,0,1,1,1,0,0
2007-10-26,2007,10,4,4,Fall,1,0,severe weather,wildfire,962.0,280.0,20345.0,Long,Medium,1,18.0,15.2,0.8444444444444444,5.8,0.0,0.0,161.0,42566.7,264.3894409937888,3462.7,88.90062111801242,219.0,738.0,505294.5499999998,506585.5099999999,0,1,1,0,2,2,0
2010-07-29,2010,7,3,3,Summer,1,0,severe weather,wildfire,47.0,522.0,,Short,Unknown,1,36.0,15065.76,418.49333333333334,13918.0,1.0,13918.0,23.0,5273.7,229.29130434782607,649.5,89.3913043478261,443.0,1396.0,50139.40999999985,72081.55,0,0,1,1,2,1,0
2016-02-26,2016,2,4,1,Winter,0,0,fuel supply emergency,,,0.0,0.0,Unknown,Low,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1,1,0
2012-10-05,2012,10,4,4,Fall,1,0,intentional attack,,20.0,,,Short,Unknown,0,18.0,13.12,0.7288888888888888,8.6,0.0,0.0,13.0,436.3,33.56153846153846,83.2,79.07692307692308,145.0,677.0,846.9799999998254,9654.55,0,0,1,0,1,0,0
2001-05-08,2001,5,1,2,Spring,0,0,system operability disruption,,108.0,225.0,70848.0,Medium,High,0,24.0,79.5,3.3125,65.0,0.0,0.0,6.0,861.6999999999999,143.61666666666665,419.7,83.83333333333333,155.0,284.0,1144.199999999942,1407.3000000000002,1,0,1,1,1,0,0
2011-12-01,2011,12,3,4,Winter,0,0,severe weather,,9855.0,,91690.0,Extended,High,0,100.0,1548.76,15.4876,698.0,0.0,0.0,22.0,650.5,29.568181818181817,101.3,68.36363636363636,161.0,394.0,1757.0699999998544,2416.02,1,1,1,1,0,0,0
2001-05-07,2001,5,0,2,Spring,0,0,public appeal,,75.0,300.0,,Medium,Unknown,0,16.0,10.1,0.63125,3.0,0.0,0.0,1.0,7.4,7.4,7.4,61.0,147.0,263.0,1171.5999999999417,1335.0,0,0,1,0,1,1,-1
2007-10-22,2007,10,0,4,Fall,1,0,severe weather,wildfire,17.0,700.0,300000.0,Short,Severe,1,52.0,27762.2,533.8884615384616,12759.0,4.0,26302.0,881.0,167371.2,189.97866061293985,2280.6,90.738933030647,175.0,747.0,434660.2999999999,436117.08,1,0,1,1,2,2,0
2007-10-22,2007,10,0,4,Fall,1,0,severe weather,wildfire,21.0,451.0,90323.0,Short,High,1,52.0,27762.2,533.8884615384616,12759.0,4.0,26302.0,881.0,167371.2,189.97866061293985,2280.6,90.738933030647,175.0,747.0,434660.2999999999,436117.08,1,0,1,1,2,2,0
2004-01-01,2004,1,3,1,Winter,0,0,severe weather,winter storm,1950.0,170.0,263000.0,Extended,Severe,0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,85.0,1.499999999883585,149.35000000000002,1,1,1,0,0,0,0
2008-12-13,2008,12,5,4,Winter,0,1,public appeal,,11867.0,5.0,,Extended,Unknown,0,7.0,9.02,1.2885714285714285,5.7,0.0,0.0,37.0,1153.1,31.164864864864867,194.8,68.56756756756756,33.0,179.0,45.96999999987631,41847.84,0,1,1,0,1,1,-1
2001-03-20,2001,3,1,1,Spring,0,0,system operability disruption,,141.0,,25000.0,Medium,Medium,0,4.0,0.4,0.1,0.1,0.0,0.0,3.0,40.1,13.366666666666667,20.6,66.0,34.0,84.0,30.39999999994179,109.2,0,0,1,0,1,0,0
2007-10-26,2007,10,4,4,Fall,1,0,system operability disruption,,959.0,240.0,104000.0,Long,Severe,0,18.0,15.2,0.8444444444444444,5.8,0.0,0.0,161.0,42566.7,264.3894409937888,3462.7,88.90062111801242,219.0,738.0,505294.5499999998,506585.5099999999,1,1,1,0,2,2,0
2008-12-19,2008,12,4,4,Winter,0,0,islanding,,1035.0,1.0,638.0,Long,Low,0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,519.0,47.18181818181818,119.6,69.36363636363636,12.0,116.0,10.419999999876309,148.08,0,1,1,0,1,1,0
2014-05-16,2014,5,4,2,Spring,0,0,severe weather,wildfire,617.0,3900.0,1400000.0,Long,Severe,1,31.0,1482.54,47.82387096774193,1457.0,1.0,1457.0,61.0,10923.2,179.0688524590164,1508.7,89.49180327868852,209.0,583.0,24680.689999999824,27849.33,1,1,1,1,0,0,0
2007-04-12,2007,4,3,2,Spring,0,0,severe weather,heavy wind,1230.0,200.0,158977.0,Long,Severe,0,27.0,130.0,4.814814814814815,51.0,0.0,0.0,3.0,84.0,28.0,30.1,61.333333333333336,144.0,482.0,1331.9599999998836,7714.0,1,1,1,1,0,0,0
2004-02-17,2004,2,1,1,Winter,0,0,severe weather,thunderstorm,572.0,220.0,,Long,Unknown,0,2.0,3.0,1.5,2.0,0.0,0.0,2.0,67.6,33.8,45.5,85.0,31.0,86.0,173.0499999998836,203.45,0,1,1,0,0,0,0
2014-02-06,2014,2,3,1,Winter,0,0,fuel supply emergency, Natural Gas,324.0,611.0,,Medium,Unknown,0,3.0,1.2,0.3999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,445.0,43.51999999982538,4157.610000000001,0,0,1,0,1,1,0
2001-01-20,2001,1,5,1,Winter,0,1,system operability disruption,,1835.0,300.0,,Extended,Unknown,0,2.0,0.2,0.1,0.1,0.0,0.0,5.0,156.2,31.24,48.0,62.6,21.0,184.0,4.899999999941793,11522.300000000005,0,1,1,0,1,0,0
2002-12-14,2002,12,5,4,Winter,0,1,severe weather,winter storm,6780.0,180.0,1500000.0,Extended,Severe,0,2.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,225.0,3.399999999912689,8548.1,1,1,1,0,0,0,0
2009-06-16,2009,6,1,2,Summer,1,0,fuel supply emergency,,900.0,300.0,,Long,Unknown,0,18.0,16.05,0.8916666666666667,4.0,0.0,0.0,20.0,1817.4,90.87,219.2,85.5,155.0,1057.0,366.21999999987634,9362.190000000002,0,1,1,0,2,1,0
2014-05-15,2014,5,3,2,Spring,0,0,severe weather,wildfire,,3300.0,1400000.0,Unknown,Severe,1,38.0,14453.929999999998,380.3665789473684,14416.0,1.0,14416.0,27.0,6853.3,253.82592592592593,840.1,89.14814814814815,190.0,565.0,23222.019999999826,26374.99,1,0,1,1,0,0,0
2007-10-22,2007,10,0,4,Fall,1,0,severe weather,wildfire,37.0,199.0,68780.0,Short,High,1,52.0,27762.2,533.8884615384616,12759.0,4.0,26302.0,881.0,167371.2,189.97866061293985,2280.6,90.738933030647,175.0,747.0,434660.2999999999,436117.08,1,0,1,1,2,2,0
2015-12-10,2015,12,3,4,Winter,0,0,severe weather,,72.0,29.0,9956.0,Medium,Low,0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,218.0,32.31999999982531,551.5799999999999,0,0,1,0,1,0,0
