year_month,outage_count,OUTAGE.DURATION,CUSTOMERS.AFFECTED,DEMAND.LOSS.MW,is_high_severity,is_wildfire_related,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2005-02-01,0,0.0,0.0,0.0,0,0,45.0,23.6,0.5244444444444445,5.0,Miscellaneous
2005-03-01,0,0.0,0.0,0.0,0,0,91.0,137.15,1.5071428571428571,86.0,Miscellaneous
2005-04-01,1,8.0,0.0,126.0,0,0,189.0,633.41,3.3513756613756613,250.0,Miscellaneous
2005-05-01,0,0.0,0.0,0.0,0,0,497.0,3183.68,6.40579476861167,800.0,Equipment Use
2005-06-01,0,0.0,0.0,0.0,0,0,956.0,97165.07,101.63710251046024,63436.0,Equipment Use
2005-07-01,2,208.0,130975.0,201.5,2,0,1473.0,57151.64,38.79948404616429,10350.0,Equipment Use
2005-08-01,3,233.66666666666666,409000.0,552.0,1,0,1259.0,27321.6,21.701032565528195,5493.0,Equipment Use
2005-09-01,1,84.0,900000.0,2578.0,1,0,1043.0,52204.670000000006,50.052416107382555,24970.0,Miscellaneous
2005-10-01,0,0.0,0.0,0.0,0,0,610.0,15488.5,25.390983606557377,6644.0,Miscellaneous
2005-11-01,1,13.0,0.0,136.0,0,1,341.0,5248.54,15.391612903225806,3891.0,Miscellaneous
2005-12-01,1,8100.0,1667316.0,800.0,1,0,133.0,145.11,1.0910526315789475,34.0,Miscellaneous
2006-01-01,0,0.0,0.0,0.0,0,0,137.0,545.82,3.984087591240877,485.0,Miscellaneous
2006-02-01,1,2645.0,160000.0,0.0,1,0,224.0,13655.009999999998,60.95986607142856,10584.0,Miscellaneous
2006-03-01,0,0.0,0.0,0.0,0,0,74.0,34.4,0.4648648648648648,10.0,Miscellaneous
2006-04-01,0,0.0,0.0,0.0,0,0,119.0,47.74,0.4011764705882353,9.0,Miscellaneous
2006-05-01,2,401.0,55655.0,216.5,1,1,651.0,11117.04,17.076866359447006,1964.0,Miscellaneous
