fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1992-01-19,5.0,0.6000000000000001,0.12000000000000002,0.2,38.816388884000006,-120.36338888599998,29.0,46.0,30.1,102.7
1992-01-20,5.0,3.5,0.7,3.0,38.05255555,-119.93883333,32.0,51.0,33.2,106.2
1992-01-21,5.0,3.6,0.72,3.0,36.982611106,-120.043388886,34.0,56.0,35.7,109.8
1992-01-22,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.0,34.7,109.8
1992-01-23,3.0,1.2,0.39999999999999997,1.0,34.16090370333333,-116.76427037,30.0,59.0,34.699999999999996,111.0
1992-01-24,12.0,38.5,3.2083333333333335,20.0,37.903066664166666,-120.25979444083333,40.0,71.0,72.69999999999999,149.5
1992-01-25,4.0,0.6,0.15,0.3,34.632438885,-117.5515361075,34.0,75.0,48.0,150.1
1992-01-26,4.0,13.6,3.4,12.0,35.8293749975,-119.5574305525,33.0,79.0,61.0,163.7
1992-01-27,3.0,47.2,15.733333333333334,47.0,33.66223333,-116.55612222,31.0,82.0,104.7,210.9
1992-01-28,1.0,0.1,0.1,0.1,35.8666,-117.8676,27.0,83.0,101.2,211.0
1992-01-29,6.0,3.1,0.5166666666666667,1.0,34.253842588333335,-116.94170184833332,33.0,89.0,104.30000000000001,214.1
1992-01-30,0.0,0.0,0.0,0.0,0.0,0.0,30.0,89.0,103.10000000000001,214.1
1992-01-31,3.0,8.2,2.733333333333333,8.0,36.31657406666667,-120.91166666333334,21.0,89.0,72.80000000000001,217.0
1992-02-01,2.0,1.1,0.55,1.0,34.317499999999995,-118.96194444,19.0,88.0,73.30000000000001,217.3
1992-02-02,3.0,0.5,0.16666666666666666,0.2,33.95361110666667,-116.97296296,18.0,90.0,60.2,217.70000000000002
1992-02-03,7.0,121.7,17.385714285714286,120.0,37.940476187142856,-120.46587301142857,22.0,95.0,134.7,339.2
1992-02-04,7.0,90.4,12.914285714285715,58.0,35.647142852857144,-118.30861587285713,28.0,102.0,225.0,429.6
1992-02-05,1.0,1.0,1.0,1.0,37.04888888,-120.89805555,23.0,102.0,222.90000000000003,430.50000000000006
1992-02-06,2.0,0.7,0.35,0.6,38.121527775000004,-121.45499999500001,25.0,103.0,223.60000000000002,431.1
1992-02-07,0.0,0.0,0.0,0.0,0.0,0.0,22.0,103.0,215.4,431.1
1992-02-08,0.0,0.0,0.0,0.0,0.0,0.0,20.0,103.0,214.3,431.1
1992-02-09,1.0,0.3,0.3,0.3,35.03194444,-120.515,18.0,102.0,214.1,428.1
1992-02-10,0.0,0.0,0.0,0.0,0.0,0.0,11.0,101.0,92.4,427.90000000000003
1992-02-11,1.0,0.1,0.1,0.1,38.0331,-122.8,5.0,99.0,2.1,365.5
1992-02-12,1.0,1.0,1.0,1.0,40.12888888,-123.835,5.0,98.0,2.1,366.09999999999997
1992-02-13,1.0,0.2,0.2,0.2,35.16888888,-120.53111111,4.0,96.0,1.6,365.20000000000005
1992-02-14,0.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,1.6,364.20000000000005
1992-02-15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,89.0,1.6,363.00000000000006
1992-02-16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,87.0,1.3,362.50000000000006
1992-02-17,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,1.3,337.20000000000005
1992-02-18,1.0,0.1,0.1,0.1,33.66388888,-116.17194444,3.0,73.0,1.3,336.7
1992-02-19,1.0,0.2,0.2,0.2,34.01111111,-117.53194444,3.0,69.0,0.5000000000000001,333.4
1992-02-20,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,0.30000000000000016,329.8
1992-02-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,0.30000000000000016,329.8
1992-02-22,1.0,0.1,0.1,0.1,34.6833,-117.4676,3.0,62.0,0.40000000000000013,328.7
1992-02-23,3.0,0.30000000000000004,0.10000000000000002,0.1,35.32499999666667,-118.08620370333334,6.0,53.0,0.7000000000000002,290.50000000000006
